"" "gene.id" "p.value" "q.value" "log.fc" "test.stat"
"2128" "YEL002C" 4.0450600511283e-09 1.24355182586848e-08 -0.458462581744034 34.6019253334622
"2129" "YOR216C" 4.07431646032654e-09 1.25195764600546e-08 -0.530059756248522 34.5878970144252
"2130" "YGR133W" 4.16006782914014e-09 1.2777072177575e-08 0.864584959928029 34.5473534129844
"2131" "YLR341W" 4.18023316091248e-09 1.28329823269308e-08 -1.67829129436984 34.53794073512
"2132" "YHR198C" 4.18392141897059e-09 1.28382804516443e-08 0.623304019373578 34.5362240675719
"2133" "YPL199C" 4.44720670916305e-09 1.36397685379019e-08 -0.621445304572667 34.4174391313862
"2134" "YER174C" 4.46233710946735e-09 1.36753236096195e-08 0.649186851130973 34.4108285025698
"2135" "YPL115C" 4.4629801141146e-09 1.36753236096195e-08 -0.650126579224539 34.4105480646446
"2136" "YDL193W" 4.46650933304559e-09 1.3679730363663e-08 0.759471924871271 34.4090095628944
"2137" "YFR022W" 4.55661483543689e-09 1.39491690469949e-08 0.912196658126158 34.3701365418457
"2138" "YBR017C" 4.76737342471205e-09 1.45875383276269e-08 -0.537799900912951 34.2821377923856
"2139" "YER159C" 4.78698528876781e-09 1.4636201147824e-08 0.791896733594612 34.2741482606087
"2140" "YKL023C-A" 4.78775152191123e-09 1.4636201147824e-08 -1.10691638510419 34.2738367763328
"2141" "YOR223W" 4.87819028643835e-09 1.49057080120877e-08 0.668775920313949 34.2374185169657
"2142" "YMR291W" 4.89730099919436e-09 1.49571163103312e-08 1.1021842094355 34.2298095141069
"2143" "YNL283C" 5.05512489020933e-09 1.54319304861173e-08 -0.596685477320475 34.1680849829363
"2144" "YPL138C" 5.139657976846e-09 1.56826690692754e-08 0.782136397949091 34.1358133497838
"2145" "YOR111W" 5.14386826650603e-09 1.56881986943974e-08 0.931338206781498 34.1342199430742
"2146" "YKL077W" 5.25797452785054e-09 1.60287368877904e-08 -0.520626565013794 34.0915260206064
"2147" "YDR246W" 5.34017823028423e-09 1.62717494096504e-08 0.719203272157747 34.0613398932696
"2148" "YHL012W" 5.36140534426362e-09 1.6328823911626e-08 0.96782811780516 34.0536206499333
"2149" "YLR227W-B" 5.44185191585888e-09 1.6566121560516e-08 -0.650235661251065 34.0246414714864
"2150" "YDR379W" 5.47355890996131e-09 1.66492569258827e-08 0.522343860280079 34.0133374026661
"2151" "YOR244W" 5.47425124542551e-09 1.66492569258827e-08 0.587762478830533 34.0130913058453
"2152" "YDR385W" 5.48538449101552e-09 1.66753649350481e-08 -0.540450700149873 34.0091381693627
"2153" "YLR405W" 5.56938511245276e-09 1.69228599190274e-08 -0.657516504377029 33.9795681491118
"2154" "YGR207C" 5.69279363560233e-09 1.72898124253066e-08 -0.47478012204757 33.9369260422848
"2155" "YDL174C" 5.70248545371554e-09 1.7311211061813e-08 -0.558170660502728 33.9336164741694
"2156" "YDR154C" 5.73521070729404e-09 1.74024807268635e-08 0.479175574599847 33.9224829107142
"2157" "YLR352W" 5.78995519640168e-09 1.75604482590912e-08 0.734013328573575 33.9039995849042
"2158" "YNL091W" 5.83782551902769e-09 1.76974302805742e-08 0.477986830245131 33.8879800506773
"2159" "YGL171W" 5.87131864231938e-09 1.77907209625074e-08 -0.580193811850403 33.8768497964803
"2160" "YJR054W" 5.88270560586114e-09 1.78169722562702e-08 -0.721518478013338 33.8730802212701
"2161" "YMR200W" 6.1443248999648e-09 1.86007281330725e-08 0.485664176135413 33.7884284425398
"2162" "YBL028C" 6.19549159311899e-09 1.87469500472638e-08 -0.946865530545078 33.772295241164
"2163" "YGR009C" 6.20808197248439e-09 1.87763625815963e-08 0.512308954791549 33.7683458677216
"2164" "YMR279C" 6.42239004668508e-09 1.94155617769934e-08 1.0607026300711 33.7023244277166
"2165" "YCR007C" 6.47507039663432e-09 1.95657785380054e-08 1.29598272061938 33.6864331984231
"2166" "YOR309C" 6.49872387187276e-09 1.96281863203101e-08 -1.28518429305871 33.6793401127326
"2167" "YBR188C" 6.60414143145181e-09 1.99373757473732e-08 1.09990306251378 33.6480392450763
"2168" "YOR380W" 6.66611988829754e-09 2.01152012496506e-08 0.926647088365829 33.6298691815576
"2169" "YFR006W" 6.69108929423665e-09 2.01812384337926e-08 0.470969503406544 33.6225967321469
